crime_place,crime_cnt
충주,13
파주,34
평택,60
포항,43
강릉,316
거제,226
경산,358
경주,277
고양,984
광명,325
광주_광산,355
광주_남구,232
광주_동구,189
광주_북구,380
광주_서구,357
구리,337
구미,516
군산,305
군포,229
기타 도시,5926
김천,154
김해,676
남양주,655
논산,146
대구_남구,243
대구_달서,587
대구_달성군,189
대구_동구,436
대구_북구,423
대구_서구,312
대구_수성,354
대구_중구,263
대전_대덕,220
대전_동구,253
대전_서구,559
대전_유성,237
대전_중구,211
도시이외,3184
목포,443
범죄분류,손괴
부산_강서,100
부산_금정,237
부산_기장군,126
부산_남구,336
부산_동구,182
부산_동래,285
부산_부산진,571
부산_북구,283
부산_사상,251
부산_사하,320
부산_서구,132
부산_수영,219
부산_연제,237
부산_영도,108
부산_중구,148
부산_해운대,290
부천,1178
서산,256
서울_강남,667
서울_강동,448
서울_강북,437
서울_강서,584
서울_관악,459
서울_광진,363
서울_구로,463
서울_금천,322
서울_노원,512
서울_도봉,275
서울_동대문,304
서울_동작,401
서울_마포,408
서울_서대문,361
서울_서초,468
서울_성동,284
서울_성북,284
서울_송파,648
서울_양천,362
서울_영등포,638
서울_용산,339
서울_은평,442
서울_종로,353
서울_중구,339
서울_중랑,543
성남,920
수원,1609
순천,331
시흥,815
아산,482
안동,165
안산,1103
안양,591
양산,284
여수,392
용인,900
울산_남구,438
울산_동구,224
울산_북구,163
울산_울주군,184
울산_중구,249
원주,440
의정부,639
이천,358
익산,339
인천_강화군,86
인천_계양,346
인천_남동,640
인천_동구,83
인천_미추홀,581
인천_부평,728
인천_서구,535
인천_연수,288
인천_옹진군,15
인천_중구,176
전주,411
정읍,82
제주,945
제천,145
진주,391
창원,1042
천안,857
청주,1091
춘천,311
충주,265
파주,451
평택,924
포항,629
강릉,3
거제,4
경산,3
경주,3
고양,11
광명,1
광주_광산,2
광주_남구,3
광주_동구,3
광주_북구,6
광주_서구,4
구리,1
구미,5
군산,7
군포,4
기타 도시,110
김천,2
김해,2
남양주,14
논산,7
대구_남구,4
대구_달서,10
대구_달성군,6
대구_동구,8
대구_북구,6
대구_서구,0
대구_수성,7
대구_중구,1
대전_대덕,0
대전_동구,3
대전_서구,4
대전_유성,6
대전_중구,5
도시이외,77
목포,6
범죄분류,살인
부산_강서,1
부산_금정,10
부산_기장군,1
부산_남구,5
부산_동구,0
부산_동래,4
부산_부산진,8
부산_북구,1
부산_사상,9
부산_사하,10
부산_서구,1
부산_수영,3
부산_연제,3
부산_영도,4
부산_중구,3
부산_해운대,3
부천,15
서산,1
서울_강남,9
서울_강동,6
서울_강북,6
서울_강서,8
서울_관악,12
서울_광진,4
서울_구로,10
서울_금천,6
서울_노원,4
서울_도봉,1
서울_동대문,7
서울_동작,5
서울_마포,2
서울_서대문,2
서울_서초,5
서울_성동,6
서울_성북,3
서울_송파,8
서울_양천,7
서울_영등포,10
서울_용산,3
서울_은평,3
서울_종로,4
서울_중구,5
서울_중랑,10
성남,4
수원,16
순천,4
시흥,3
아산,7
안동,5
안산,10
안양,6
양산,4
여수,3
용인,9
울산_남구,3
울산_동구,3
울산_북구,1
울산_울주군,4
울산_중구,8
원주,2
의정부,5
이천,2
익산,11
인천_강화군,2
인천_계양,5
인천_남동,11
인천_동구,1
인천_미추홀,10
인천_부평,6
인천_서구,6
인천_연수,8
인천_옹진군,0
인천_중구,2
전주,19
정읍,1
제주,17
제천,3
진주,4
창원,20
천안,14
청주,14
춘천,5
충주,5
파주,5
평택,8
포항,5
강릉,4
거제,2
경산,3
경주,5
고양,9
광명,5
광주_광산,4
광주_남구,1
광주_동구,4
광주_북구,16
광주_서구,4
구리,3
구미,4
군산,7
군포,2
기타 도시,91
김천,3
김해,9
남양주,7
논산,0
대구_남구,2
대구_달서,8
대구_달성군,2
대구_동구,5
대구_북구,3
대구_서구,7
대구_수성,4
대구_중구,4
대전_대덕,1
대전_동구,8
대전_서구,8
대전_유성,2
대전_중구,6
도시이외,37
목포,8
범죄분류,강도
부산_강서,0
부산_금정,12
부산_기장군,1
부산_남구,2
부산_동구,10
부산_동래,6
부산_부산진,16
부산_북구,3
부산_사상,4
부산_사하,4
부산_서구,4
부산_수영,4
부산_연제,3
부산_영도,5
부산_중구,4
부산_해운대,5
부천,12
서산,1
서울_강남,6
서울_강동,14
서울_강북,2
서울_강서,4
서울_관악,11
서울_광진,6
서울_구로,4
서울_금천,12
서울_노원,3
서울_도봉,6
서울_동대문,12
서울_동작,1
서울_마포,2
서울_서대문,5
서울_서초,5
서울_성동,9
서울_성북,3
서울_송파,9
서울_양천,5
서울_영등포,5
서울_용산,6
서울_은평,1
서울_종로,8
서울_중구,6
서울_중랑,4
성남,14
수원,22
순천,1
시흥,15
아산,12
안동,1
안산,15
안양,7
양산,6
여수,3
용인,7
울산_남구,14
울산_동구,2
울산_북구,2
울산_울주군,2
울산_중구,7
원주,8
의정부,4
이천,1
익산,2
인천_강화군,0
인천_계양,5
인천_남동,12
인천_동구,0
인천_미추홀,10
인천_부평,15
인천_서구,5
인천_연수,7
인천_옹진군,0
인천_중구,6
전주,12
정읍,1
제주,14
제천,6
진주,3
창원,10
천안,13
청주,22
춘천,4
충주,2
파주,4
평택,12
포항,4
강릉,11
거제,2
경산,7
경주,8
고양,26
광명,5
광주_광산,5
광주_남구,5
광주_동구,6
광주_북구,15
광주_서구,11
구리,8
구미,14
군산,11
군포,4
기타 도시,127
김천,4
김해,7
남양주,15
논산,8
대구_남구,10
대구_달서,9
대구_달성군,7
대구_동구,11
대구_북구,8
대구_서구,6
대구_수성,9
대구_중구,2
대전_대덕,5
대전_동구,9
대전_서구,14
대전_유성,7
대전_중구,13
도시이외,125
목포,13
범죄분류,방화
부산_강서,2
부산_금정,4
부산_기장군,4
부산_남구,7
부산_동구,5
부산_동래,8
부산_부산진,15
부산_북구,5
부산_사상,13
부산_사하,7
부산_서구,2
부산_수영,3
부산_연제,5
부산_영도,6
부산_중구,4
부산_해운대,7
부천,16
서산,8
서울_강남,8
서울_강동,13
서울_강북,4
서울_강서,24
서울_관악,18
서울_광진,7
서울_구로,8
서울_금천,9
서울_노원,8
서울_도봉,7
서울_동대문,7
서울_동작,11
서울_마포,5
서울_서대문,9
서울_서초,9
서울_성동,2
서울_성북,10
서울_송파,14
서울_양천,7
서울_영등포,16
서울_용산,9
서울_은평,13
서울_종로,8
서울_중구,10
서울_중랑,15
성남,16
수원,23
순천,6
시흥,11
아산,9
안동,7
안산,21
안양,12
양산,9
여수,8
용인,11
울산_남구,5
울산_동구,0
울산_북구,3
울산_울주군,7
울산_중구,4
원주,5
의정부,17
이천,6
익산,6
인천_강화군,1
인천_계양,9
인천_남동,13
인천_동구,3
인천_미추홀,11
인천_부평,16
인천_서구,10
인천_연수,6
인천_옹진군,0
인천_중구,3
전주,11
정읍,5
제주,19
제천,9
진주,4
창원,19
천안,17
청주,22
춘천,8
충주,10
파주,9
평택,24
포항,11
강릉,124
거제,111
경산,149
경주,119
고양,481
광명,167
광주_광산,181
광주_남구,79
광주_동구,96
광주_북구,241
광주_서구,244
구리,127
구미,207
군산,157
군포,131
기타 도시,2596
김천,61
김해,217
남양주,271
논산,42
대구_남구,89
대구_달서,276
대구_달성군,92
대구_동구,206
대구_북구,183
대구_서구,81
대구_수성,157
대구_중구,207
대전_대덕,69
대전_동구,132
대전_서구,393
대전_유성,188
대전_중구,203
도시이외,1507
목포,183
범죄분류,성폭력
부산_강서,60
부산_금정,117
부산_기장군,59
부산_남구,124
부산_동구,74
부산_동래,119
부산_부산진,430
부산_북구,117
부산_사상,130
부산_사하,155
부산_서구,51
부산_수영,95
부산_연제,132
부산_영도,39
부산_중구,82
부산_해운대,252
부천,579
서산,77
서울_강남,1257
서울_강동,247
서울_강북,227
서울_강서,406
서울_관악,538
서울_광진,398
서울_구로,341
서울_금천,194
서울_노원,257
서울_도봉,122
서울_동대문,223
서울_동작,350
서울_마포,664
서울_서대문,252
서울_서초,766
서울_성동,188
서울_성북,243
서울_송파,428
서울_양천,180
서울_영등포,489
서울_용산,344
서울_은평,266
서울_종로,350
서울_중구,293
서울_중랑,183
성남,608
수원,872
순천,147
시흥,301
아산,143
안동,67
안산,505
안양,322
양산,112
여수,114
용인,410
울산_남구,226
울산_동구,81
울산_북구,70
울산_울주군,85
울산_중구,98
원주,231
의정부,286
이천,137
익산,122
인천_강화군,31
인천_계양,163
인천_남동,405
인천_동구,25
인천_미추홀,334
인천_부평,485
인천_서구,324
인천_연수,174
인천_옹진군,9
인천_중구,144
전주,407
정읍,61
제주,387
제천,66
진주,153
창원,484
천안,399
청주,472
춘천,147
충주,98
파주,193
평택,262
포항,204
강릉,691
거제,680
경산,902
경주,629
고양,2881
광명,1022
광주_광산,1319
광주_남구,552
광주_동구,583
광주_북구,1430
광주_서구,1447
구리,976
구미,879
군산,947
군포,735
기타 도시,14738
김천,438
김해,1732
남양주,1471
논산,222
대구_남구,593
대구_달서,1364
대구_달성군,438
대구_동구,914
대구_북구,1330
대구_서구,759
대구_수성,752
대구_중구,859
대전_대덕,652
대전_동구,735
대전_서구,1714
대전_유성,740
대전_중구,999
도시이외,6910
목포,1003
범죄분류,폭행
부산_강서,224
부산_금정,604
부산_기장군,330
부산_남구,654
부산_동구,510
부산_동래,830
부산_부산진,1863
부산_북구,865
부산_사상,785
부산_사하,815
부산_서구,293
부산_수영,617
부산_연제,779
부산_영도,379
부산_중구,476
부산_해운대,1194
부천,3020
서산,458
서울_강남,2144
서울_강동,1329
서울_강북,1573
서울_강서,1458
서울_관악,1774
서울_광진,1119
서울_구로,1697
서울_금천,1085
서울_노원,1464
서울_도봉,690
서울_동대문,1338
서울_동작,1103
서울_마포,1408
서울_서대문,838
서울_서초,1758
서울_성동,835
서울_성북,990
서울_송파,1749
서울_양천,1000
서울_영등포,1827
서울_용산,1439
서울_은평,1227
서울_종로,1361
서울_중구,1225
서울_중랑,1490
성남,2841
수원,4769
순천,869
시흥,1889
아산,1011
안동,425
안산,2984
안양,1884
양산,915
여수,1107
용인,2078
울산_남구,1155
울산_동구,528
울산_북구,398
울산_울주군,474
울산_중구,606
원주,824
의정부,2303
이천,889
익산,948
인천_강화군,167
인천_계양,1212
인천_남동,2103
인천_동구,282
인천_미추홀,2142
인천_부평,2843
인천_서구,2247
인천_연수,955
인천_옹진군,30
인천_중구,615
전주,1773
정읍,244
제주,1910
제천,287
진주,792
창원,2839
천안,1669
청주,2348
춘천,705
